n,fold_seed,primary_intercept,nominal_intercept,effective_intercept,clamp_flag,secondary_log,secondary_avoid_log,secondary_avoid_log_failed,shot_clamp_flag,shot_secondary_log,shot_secondary_avoid_log,shot_secondary_avoid_log_failed
11,1001,0.5945891586082451,0.5953047162035219,0.6154395960079285,0,0.7122720607118509,0.7115399293108452,0,0,0.7152190670653749,0.7198475354002326,0
11,1002,0.5919566889336306,0.592551140442969,0.6122413212795766,0,0.7005136959641015,0.6974371500380044,0,0,0.6706975985855148,0.6715772530056096,0
11,1003,0.5962955173082837,0.5970410258964401,0.6174079144586625,0,0.7181313309747235,0.7178678939596579,0,0,0.71572010793657,0.7131196118495818,0
11,1004,0.5922147296696606,0.5930154842228518,0.6129745009968843,0,0.7094717837047587,0.7112074696206032,0,0,0.6722462644556554,0.6759797774318185,0
11,1005,0.5900906069083028,0.590781882601112,0.6103684519215399,0,0.6994826747555286,0.6988662451652577,0,0,0.7190647416015672,0.7123745469949313,0
11,1006,0.5917447130545878,0.5924657946600768,0.6122781625537331,0,0.7049697437899826,0.7048075800304248,0,0,0.6977185043208534,0.6949953557115773,0
11,1007,0.5943846198587635,0.5949920817803408,0.6149780835088877,0,0.70731780929009,0.7041009871097863,0,0,0.7671179782847354,0.7598199664670566,0
12,1000,0.4722401488117974,0.4722401488117974,0.48941562014006434,0,0.577811898808031,0.5754138953869871,0,0,0.5587512862990944,0.5574640855802182,0
12,1001,0.47039538224083394,0.47039538224083394,0.4874323984733222,0,0.574080812081875,0.572982755906763,0,0,0.5552097656877394,0.5547663842076146,0
12,1002,0.47373985681479874,0.47373985681479874,0.49108392205728724,0,0.5820485595419735,0.5792761385512404,0,0,0.6125545372685611,0.6098417930345005,0
12,1003,0.4713779021289598,0.4713779021289598,0.48867167079546814,0,0.579924727957044,0.5805401947229251,0,0,0.6166361518102975,0.6121776860182403,0
12,1004,0.46886193884733496,0.46886193884733496,0.48563985745956995,0,0.5681071748892991,0.5662827900833589,0,0,0.5737461716409078,0.5709021443505716,0
12,1005,0.46811587512099706,0.46811587512099706,0.4848857975736748,0,0.5675747000569653,0.5668375998626907,0,0,0.5691391985642645,0.5718677747160738,0
