n,fold_seed,lambda_nominal,lambda_r,lambda_eff,expectation_dm,cx,sx,x,rz,sxdg
11,1001,1.5,1.490909090909091,1.437462657064866,0.3328726424579584,164,132,3,319,0
11,1001,2.0,2.0,1.8911276347617643,0.25683588024712095,220,132,3,319,0
11,1002,1.0,1.0,1.0,0.42763037945773297,110,132,3,319,0
11,1002,1.5,1.490909090909091,1.437462657064866,0.3410707840403752,164,132,3,319,0
11,1002,2.0,2.0,1.8911276347617643,0.26153841420828555,220,132,3,319,0
11,1003,1.0,1.0,1.0,0.42763037945773297,110,132,3,319,0
11,1003,1.5,1.490909090909091,1.437462657064866,0.3305222929537859,164,132,3,319,0
11,1003,2.0,2.0,1.8911276347617643,0.2546760863662847,220,132,3,319,0
11,1004,1.0,1.0,1.0,0.42763037945773297,110,132,3,319,0
11,1004,1.5,1.490909090909091,1.437462657064866,0.3283982840484161,164,132,3,319,0
11,1004,2.0,2.0,1.8911276347617643,0.2575196909706835,220,132,3,319,0
11,1005,1.0,1.0,1.0,0.42763037945773297,110,132,3,319,0
11,1005,1.5,1.490909090909091,1.437462657064866,0.3357311363206426,164,132,3,319,0
11,1005,2.0,2.0,1.8911276347617643,0.26152930729566803,220,132,3,319,0
11,1006,1.0,1.0,1.0,0.42763037945773297,110,132,3,319,0
11,1006,1.5,1.490909090909091,1.437462657064866,0.33340562857372474,164,132,3,319,0
11,1006,2.0,2.0,1.8911276347617643,0.2594215233174359,220,132,3,319,0
11,1007,1.0,1.0,1.0,0.42763037945773297,110,132,3,319,0
11,1007,1.5,1.490909090909091,1.437462657064866,0.33953380627909074,164,132,3,319,0
11,1007,2.0,2.0,1.8911276347617643,0.2590070422730285,220,132,3,319,0
12,1000,1.0,1.0,1.0,0.3331727785244386,120,144,3,348,0
12,1000,1.5,1.5,1.445653668064066,0.257423657182261,180,144,3,348,0
12,1000,2.0,2.0,1.8913073361281318,0.19232956932322326,240,144,3,348,0
12,1001,1.0,1.0,1.0,0.3331727785244386,120,144,3,348,0
12,1001,1.5,1.5,1.445653668064066,0.25586314128960574,180,144,3,348,0
12,1001,2.0,2.0,1.8913073361281318,0.19346493612900456,240,144,3,348,0
12,1002,1.0,1.0,1.0,0.3331727785244386,120,144,3,348,0
12,1002,1.5,1.5,1.445653668064066,0.2570839866004718,180,144,3,348,0
12,1002,2.0,2.0,1.8913073361281318,0.19094705658299638,240,144,3,348,0
12,1003,1.0,1.0,1.0,0.3331727785244386,120,144,3,348,0
