n,fold_seed,lambda_nominal,expectation_shot,seed_simulator
10,1002,1.5,0.3917643229166667,10021
10,1002,2.0,0.3188069661458333,10022
10,1003,1.0,0.4942626953125,10030
10,1003,1.5,0.3871256510416667,10031
10,1003,2.0,0.3118489583333333,10032
10,1004,1.0,0.4967041015625,10040
10,1004,1.5,0.38330078125,10041
10,1004,2.0,0.3102620442708333,10042
10,1005,1.0,0.487060546875,10050
10,1005,1.5,0.392822265625,10051
10,1005,2.0,0.3140462239583333,10052
10,1006,1.0,0.4931233723958333,10060
10,1006,1.5,0.3861490885416667,10061
10,1006,2.0,0.3106689453125,10062
10,1007,1.0,0.4891357421875,10070
10,1007,1.5,0.3861897786458333,10071
10,1007,2.0,0.3177897135416667,10072
11,1000,1.0,0.42822265625,10100
11,1000,1.5,0.3378499348958333,10101
11,1000,2.0,0.2600911458333333,10102
11,1001,1.0,0.4301350911458333,10110
11,1001,1.5,0.3242594401041667,10111
11,1001,2.0,0.2580973307291667,10112
11,1002,1.0,0.4208577473958333,10120
11,1002,1.5,0.3312581380208333,10121
11,1002,2.0,0.263916015625,10122
11,1003,1.0,0.4255777994791667,10130
11,1003,1.5,0.33349609375,10131
11,1003,2.0,0.2533772786458333,10132
11,1004,1.0,0.4241129557291667,10140
11,1004,1.5,0.3279215494791667,10141
11,1004,2.0,0.266845703125,10142
11,1005,1.0,0.4252522786458333,10150
11,1005,1.5,0.3409423828125,10151
11,1005,2.0,0.2523193359375,10152
11,1006,1.0,0.423583984375,10160
11,1006,1.5,0.3360595703125,10161
11,1006,2.0,0.257568359375,10162
11,1007,1.0,0.438232421875,10170
11,1007,1.5,0.3446858723958333,10171
11,1007,2.0,0.2509765625,10172
12,1000,1.0,0.3299153645833333,10200
12,1000,1.5,0.2560628255208333,10201
12,1000,2.0,0.1949462890625,10202
12,1001,1.0,0.3276774088541667,10210
12,1001,1.5,0.2526041666666667,10211
12,1001,2.0,0.19344075520833334,10212
12,1002,1.0,0.3382161458333333,10220
12,1002,1.5,0.2556559244791667,10221
12,1002,2.0,0.1868896484375,10222
12,1003,1.0,0.3380126953125,10230
12,1003,1.5,0.25732421875,10231
12,1003,2.0,0.18550618489583334,10232
